symbol,identifier,series,isin,industry,companyName,lastPrice,change,pChange,totalTradedVolume,totalTradedValue,yearHigh,nearWKH,nearWKL,perChange365d,perChange30d,key,index,indexSymbol,last,variation,percentChange,yearLow,declines,advances,unchanged,previousDay,oneWeekAgo,oneMonthAgo,oneYearAgo
SUNDARMFIN,SUNDARMFINEQN,EQ,INE660A01013,Non Banking Financial Company (NBFC),Sundaram Finance Limited,4983.55,80.35,1.64,37323.0,184979506.14000002,5166.0,3.531746031746028,-85.60707635009312,94.69,19.58,,,,,,,,,,,,,,
THERMAX,THERMAXEQN,EQ,INE152A01029,Heavy Electrical Equipment,Thermax Limited,5124.4,120.5,2.41,237232.0,1211354038.3999999,5839.95,12.25267339617634,-104.95550444955502,56.16,-12.27,,,,,,,,,,,,,,
LLOYDSME,LLOYDSMEEQN,EQ,INE281B01032,Sponge Iron,Lloyds Metals And Energy Limited,814.7,24.7,3.13,668026.0,535456240.29999995,814.95,0.030676728633658504,-65.58943089430895,41.23,-0.91,,,,,,,,,,,,,,
CARBORUNIV,CARBORUNIVEQN,EQ,INE120A01034,Abrasives & Bearings,Carborundum Universal Limited,1522.0,48.7,3.31,402565.0,615598372.35,1841.15,17.334274773918477,-48.40093603744151,34.18,-8.47,,,,,,,,,,,,,,
SUMICHEM,SUMICHEMEQN,EQ,INE258G01013,Pesticides & Agrochemicals,Sumitomo Chemical India Limited,621.3,28.95,4.89,1892929.0,1160232971.9699998,628.3,1.1141174598121917,-84.85569770901515,16.49,0.14,,,,,,,,,,,,,,
TRITURBINE,TRITURBINEEQN,EQ,INE152M01016,Heavy Electrical Equipment,Triveni Turbine Limited,749.9,-37.6,-4.77,638084.0,485377737.11999995,843.95,11.14402511997157,-140.35256410256412,84.96,18.5,,,,,,,,,,,,,,
BLS,BLSEQN,EQ,INE153T01027,Tour Travel Related Services,BLS International Services Limited,411.65,-14.2,-3.33,2961545.0,1235290034.95,474.4,13.227234401349072,-79.13402959094863,47.56,17.91,,,,,,,,,,,,,,
IRCON,IRCONEQN,EQ,INE962Y01021,Civil Construction,Ircon International Limited,234.0,-5.95,-2.48,2677817.0,632794935.27,351.6,33.44709897610922,-83.88998035363458,119.97,-8.71,,,,,,,,,,,,,,
SWANENERGY,SWANENERGYEQN,EQ,INE665A01038,Diversified,Swan Energy Limited,598.3,-12.7,-2.08,1060185.0,640648591.8,782.25,23.515500159795465,-111.97519929140832,121.23,-5.94,,,,,,,,,,,,,,
RENUKA,RENUKAEQN,EQ,INE087H01022,Sugar,Shree Renuka Sugars Limited,47.16,-0.92,-1.91,4187799.0,198124770.69,57.25,17.62445414847162,-29.02872777017784,6.09,2.73,,,,,,,,,,,,,,
IOB,IOBEQN,EQ,INE565A01014,Public Sector Bank,Indian Overseas Bank,58.36,-1.09,-1.83,3104694.0,181810880.64000002,83.75,30.31641791044776,-59.23601637107777,101.89,-6.87,,,,,,,,,,,,,,
ALOKINDS,ALOKINDSEQN,EQ,INE270A01029,Other Textile Products,Alok Industries Limited,25.73,-0.41,-1.57,9844060.0,255650238.2,39.05,34.1101152368758,-59.81366459627328,37.19,4.24,,,,,,,,,,,,,,
CANFINHOME,CANFINHOMEEQN,EQ,INE477A01020,Housing Finance Company,Can Fin Homes Limited,889.6,-13.9,-1.54,463029.0,413656217.73,951.75,6.530076175466244,-30.82352941176471,13.62,3.22,,,,,,,,,,,,,,
GRAPHITE,GRAPHITEEQN,EQ,INE371A01025,Electrodes & Refractories,Graphite India Limited,535.0,-7.8,-1.44,437230.0,234176015.70000002,709.4,24.58415562447138,-23.21510824504837,8.51,0.88,,,,,,,,,,,,,,
J&KBANK,J&KBANKEQN,EQ,INE168A01041,Private Sector Bank,The Jammu & Kashmir Bank Limited,104.78,-1.52,-1.43,1457717.0,152987399.15,152.5,31.291803278688526,-10.761099365750537,23.61,-6.04,,,,,,,,,,,,,,
AMBER,AMBEREQN,EQ,INE371P01015,Household Appliances,Amber Enterprises India Limited,4497.35,-61.4,-1.35,26848.0,120996687.03999999,4888.0,7.992021276595737,-65.2799470792525,50.3,1.77,,,,,,,,,,,,,,
DATAPATTNS,DATAPATTNSEQN,EQ,INE0IX101010,Aerospace & Defense,Data Patterns (India) Limited,2715.0,-34.8,-1.27,57320.0,155693157.2,3655.0,25.718194254445965,-56.48414985590778,13.55,-11.33,,,,,,,,,,,,,,
WELSPUNLIV,WELSPUNLIVEQN,EQ,INE192B01031,Other Textile Products,Welspun Living Limited,176.69,-2.03,-1.14,5445645.0,956255262.0,212.95,17.027471237379665,-52.77993947254647,-,4.28,,,,,,,,,,,,,,
TTML,TTMLEQN,EQ,INE517B01013,Telecom - Cellular & Fixed line services,Tata Teleservices (Maharashtra) Limited,90.11,-0.94,-1.03,3138877.0,283660314.49,111.4,19.11131059245961,-38.524212144504226,6.05,-0.87,,,,,,,,,,,,,,
MRPL,MRPLEQN,EQ,INE103A01014,Refineries & Marketing,Mangalore Refinery and Petrochemicals Limited,187.55,-1.94,-1.02,579556.0,109043461.4,289.25,35.15989628349178,-107.2375690607735,115.23,-4.86,,,,,,,,,,,,,,
JYOTHYLAB,JYOTHYLABEQN,EQ,INE668F01031,Household Products,Jyothy Labs Limited,541.25,-5.4,-0.99,197937.0,108016200.27000001,595.85,9.16338004531342,-62.53753753753754,47.67,4.08,,,,,,,,,,,,,,
